T,node_id,D1,D2,Sigma_a1,Sigma_a2,nu_Sigma_f1,nu_Sigma_f2,kappa_Sigma_f1,kappa_Sigma_f2,Sigma_s12,inv_v1,inv_v2,beta_1,lambda_1,beta_2,lambda_2,beta_3,lambda_3,beta_4,lambda_4,beta_5,lambda_5,beta_6,lambda_6,beta_7,lambda_7,beta_8,lambda_8
600.0,0,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,1,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,2,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,3,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,4,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,5,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,7,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,8,1.7976931348623157e+308,1.7976931348623157e+308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,9,1.0452864917293578,0.3114683338955387,0.007675985104314368,0.0745791782019775,0.005171143183117376,0.07924804090256736,391720.5543446525,6303991.088325299,0.021724047201183008,6.834477722826572e-08,2.509557792490418e-06,0.00021727093725495752,0.012466699999999999,0.0010344639709126099,0.028291700000000013,0.0006147354373713137,0.04252440000000003,0.0013326715879214469,0.13304200000000002,0.002240192472814599,0.29246719999999987,0.0006619466693401391,0.6664877000000003,0.0005801777929779954,1.6347810000000003,0.00018432634214164722,3.5545999999999984
600.0,10,1.10343970308479,0.324556888632833,0.008025958581995113,0.0656999837318103,0.004976540052698728,0.06833250530730804,376033.0696588133,5436030.171048067,0.02045910131056676,6.702372465173062e-08,2.4912630644002417e-06,0.00021689744447279371,0.012466700000000004,0.0010386739228546037,0.028291700000000017,0.0006148278322272756,0.04252439999999998,0.0013382086984346402,0.133042,0.0022558203611186527,0.29246719999999987,0.0006764315068743088,0.6664877,0.0005886889372566511,1.634781,0.00019181774831308586,3.5545999999999967
600.0,11,1.0848281343127293,0.3058509982477276,0.008375306747340543,0.06697627494382374,0.0053599834416317845,0.06350265586781037,403384.0853325675,5051790.135626372,0.02014645822305319,6.413353941287378e-08,2.572400269203635e-06,0.00021659334606811037,0.0124667,0.0010396734307850535,0.028291700000000003,0.0006147058011111771,0.04252440000000001,0.0013400712586179263,0.1330419999999999,0.002261546937913843,0.29246720000000015,0.000683414496907085,0.6664877000000002,0.0005929329548547762,1.6347809999999994,0.0001958278556177116,3.554599999999999
