T,reactivity,LAMBDA,total_beta,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7
273.15,0.010245168106326516,2.6078805149979677e-05,0.007366991180636151,0.0002138887783812067,0.001068458719827773,0.0006184375217962639,0.001382537808808305,0.002369394209253027,0.000797457792875249,0.0006618885464185366,0.0002549278032757903,0.012466699999997994,0.028291700000002976,0.04252440000000285,0.13304199999999622,0.2924671999999531,0.6664877000002335,1.6347810000005396,3.554600000000078
300.0,0.009245439606449884,2.608723184818497e-05,0.007367654899752612,0.00021388514419834866,0.0010685045384812041,0.0006184456022333161,0.0013826062742653387,0.0023695612035671792,0.0007976357945365419,0.0006619970146273885,0.00025501932784329504,0.01246669999999772,0.02829170000000254,0.04252440000000451,0.13304199999999744,0.2924671999999566,0.666487700000232,1.6347810000005718,3.554600000000009
400.0,0.006300384853219291,2.609164520140345e-05,0.0073697860717368835,0.00021386835294196684,0.0010686390302422737,0.0006184580581405734,0.0013828113759484907,0.002370099052194198,0.0007982256317320417,0.0006623534845496477,0.0002553310859876922,0.012466699999997943,0.028291700000002105,0.0425244000000019,0.1330419999999981,0.2924671999999518,0.6664877000002359,1.6347810000005563,3.5546000000000664
500.0,0.0028290368252532716,2.610893603043296e-05,0.007372184388196178,0.00021385295329165013,0.0010688031103387894,0.0006184787367427733,0.001383052551664157,0.002370713418511091,0.0007988727635579723,0.0006627444559410181,0.0002556663981487266,0.012466699999997721,0.028291700000001748,0.04252440000000247,0.13304199999999766,0.29246719999994325,0.666487700000242,1.6347810000005734,3.554600000000028
600.0,-0.00019364062262475213,2.611728626692641e-05,0.007374348232990411,0.0002138390867281126,0.0010689470020274086,0.0006185011764945299,0.001383270519127955,0.0023712525619385087,0.0007994629425321082,0.0006631031582634783,0.00025597178587830933,0.012466699999997631,0.028291700000001255,0.04252440000000177,0.13304199999999536,0.2924671999999497,0.666487700000253,1.634781000000556,3.554599999999943
700.0,-0.002531513123800568,2.6108826554707492e-05,0.0073759458212337755,0.000213828249658028,0.0010690452413929365,0.0006185194426815408,0.0013834288311437022,0.002371637920898678,0.0007999058485168701,0.0006633753337587557,0.00025620495318326485,0.012466699999998047,0.028291700000000815,0.042524400000001336,0.13304199999999652,0.2924671999999413,0.6664877000002757,1.6347810000005825,3.5545999999998705
800.0,-0.004838341006228458,2.613663724983637e-05,0.007377550430067965,0.00021381692811441505,0.0010691528248279035,0.0006185304828084584,0.0013835873390008195,0.0023720497337791405,0.0008003422687641652,0.0006636382859293011,0.0002564325668437614,0.012466699999997987,0.028291700000000572,0.04252440000000044,0.13304199999999775,0.29246719999994436,0.6664877000002645,1.6347810000006144,3.5545999999999585
900.0,-0.007105940151757113,2.6136610415873303e-05,0.00737962503888387,0.00021380213213696678,0.0010692860810929978,0.0006185481375112195,0.0013837916433116358,0.0023725669452535894,0.0008009133768817636,0.0006639850812762516,0.00025673164141944556,0.012466699999998278,0.02829170000000069,0.04252440000000101,0.13304199999999722,0.2924671999999453,0.6664877000002772,1.6347810000006169,3.554599999999949
1000.0,-0.009486362346820052,2.6152488252472232e-05,0.0073812191683437075,0.00021379020371218175,0.0010693916732852145,0.0006185578000271498,0.0013839475888176855,0.002372974161379743,0.0008013503957990396,0.0006642478184266633,0.00025695952689603,0.012466699999998224,0.028291700000000093,0.042524400000000226,0.1330419999999973,0.2924671999999379,0.66648770000028,1.634781000000649,3.5545999999999816
1100.0,-0.011166392680259174,2.6154580165656562e-05,0.007381959470382538,0.00021378686218547578,0.0010694292885437468,0.0006185788322579838,0.0013840252938842265,0.0023731195346067525,0.0008015629499772596,0.0006643854883126482,0.00025707122061444527,0.012466699999998193,0.028291699999999583,0.0425244000000001,0.13304199999999583,0.29246719999994336,0.66648770000029,1.6347810000006597,3.554599999999943
